neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,room_type_n
Staten Island,Entire home/apt,95,4,45,1.66,1
Manhattan,Entire home/apt,105,2,109,4.86,1
Manhattan,Private room,89,2,133,2.8,0
Manhattan,Private room,150,4,12,1.89,0
Brooklyn,Entire home/apt,120,2,23,1.86,1
Brooklyn,Private room,40,10,22,0.47,0
Manhattan,Entire home/apt,249,3,1,1.0,1
Brooklyn,Private room,80,3,0,0.0,0
Manhattan,Private room,125,4,0,0.0,0
Manhattan,Private room,39,3,84,6.46,0
Manhattan,Entire home/apt,208,6,100,1.14,1
Manhattan,Shared room,49,1,22,6.53,2
Manhattan,Private room,60,2,16,1.75,0
Manhattan,Private room,110,3,7,1.71,0
Manhattan,Private room,70,2,1,1.0,0
Manhattan,Entire home/apt,260,2,2,0.32,1
Queens,Private room,65,2,92,1.87,0
Manhattan,Private room,55,6,0,0.0,0
Manhattan,Private room,135,1,14,0.28,0
Brooklyn,Private room,90,2,15,0.41,0
Manhattan,Entire home/apt,169,3,96,2.51,1
Manhattan,Entire home/apt,150,4,0,0.0,1
Queens,Entire home/apt,200,1,12,6.0,1
Brooklyn,Entire home/apt,110,2,0,0.0,1
Manhattan,Entire home/apt,172,4,3,0.42,1
Brooklyn,Private room,29,2,7,0.38,0
Bronx,Private room,50,1,0,0.0,0
Manhattan,Private room,80,1,2,0.06,0
Brooklyn,Entire home/apt,282,1,1,1.0,1
Manhattan,Entire home/apt,201,2,33,4.21,1
Manhattan,Entire home/apt,226,1,1,0.09,1
Queens,Shared room,34,1,2,0.7,2
Brooklyn,Private room,79,2,1,1.0,0
Bronx,Private room,53,3,0,0.0,0
Brooklyn,Private room,55,2,18,1.6,0
Manhattan,Private room,100,1,0,0.0,0
Manhattan,Entire home/apt,196,2,7,0.36,1
Manhattan,Private room,56,1,2,0.05,0
Brooklyn,Entire home/apt,128,5,0,0.0,1
Brooklyn,Entire home/apt,67,1,1,0.03,1
Manhattan,Entire home/apt,200,4,6,0.33,1
Brooklyn,Private room,72,2,5,0.11,0
Brooklyn,Private room,43,4,10,1.02,0
Manhattan,Entire home/apt,285,1,17,4.08,1
Manhattan,Private room,75,2,45,0.94,0
Queens,Entire home/apt,105,2,204,4.05,1
Brooklyn,Entire home/apt,150,3,52,0.72,1
Manhattan,Private room,111,3,7,0.63,0
Queens,Private room,60,2,6,2.81,0
Queens,Private room,50,1,0,0.0,0
Brooklyn,Private room,84,2,48,1.11,0
Brooklyn,Private room,45,2,0,0.0,0
Brooklyn,Entire home/apt,120,1,4,0.17,1
Brooklyn,Entire home/apt,140,1,1,0.02,1
Queens,Entire home/apt,150,6,3,0.12,1
Manhattan,Entire home/apt,220,2,119,1.93,1
Queens,Private room,110,1,3,0.28,0
Queens,Private room,99,1,23,1.25,0
Queens,Private room,75,1,48,0.77,0
Brooklyn,Entire home/apt,110,4,2,0.2,1
Manhattan,Entire home/apt,125,3,0,0.0,1
Queens,Entire home/apt,105,1,5,0.1,1
Brooklyn,Private room,99,2,67,4.59,0
Manhattan,Private room,55,4,1,0.08,0
Brooklyn,Private room,75,1,34,1.62,0
Brooklyn,Entire home/apt,99,3,10,0.28,1
Brooklyn,Entire home/apt,200,3,2,0.06,1
Manhattan,Entire home/apt,130,3,25,1.36,1
Manhattan,Entire home/apt,175,4,57,1.04,1
Brooklyn,Private room,72,1,8,3.93,0
Brooklyn,Entire home/apt,170,3,75,3.24,1
Manhattan,Shared room,69,1,81,6.09,2
Brooklyn,Private room,55,5,37,1.16,0
Queens,Entire home/apt,78,2,4,0.44,1
Brooklyn,Entire home/apt,139,2,9,1.08,1
Manhattan,Entire home/apt,150,1,7,0.95,1
Manhattan,Private room,65,3,0,0.0,0
Manhattan,Entire home/apt,89,1,45,4.93,1
Manhattan,Private room,100,1,4,1.69,0
Brooklyn,Private room,36,2,0,0.0,0
Manhattan,Entire home/apt,65,2,4,0.98,1
Manhattan,Entire home/apt,150,5,11,0.82,1
Brooklyn,Entire home/apt,200,7,20,0.24,1
Queens,Private room,30,2,6,0.42,0
Brooklyn,Private room,100,3,0,0.0,0
Brooklyn,Entire home/apt,205,3,84,1.85,1
Manhattan,Entire home/apt,110,4,5,1.23,1
Brooklyn,Private room,150,3,0,0.0,0
Manhattan,Entire home/apt,245,3,51,1.12,1
Brooklyn,Entire home/apt,145,3,5,0.1,1
Brooklyn,Entire home/apt,90,1,3,0.06,1
Brooklyn,Private room,250,2,0,0.0,0
Brooklyn,Private room,43,1,4,0.13,0
Manhattan,Entire home/apt,225,5,7,0.12,1
Brooklyn,Entire home/apt,125,3,22,0.72,1
Manhattan,Private room,81,4,4,1.3,0
Bronx,Private room,142,1,30,2.56,0
Brooklyn,Private room,280,1,0,0.0,0
Manhattan,Entire home/apt,84,2,3,0.12,1
Manhattan,Private room,99,1,40,3.05,0
Brooklyn,Private room,55,5,6,0.28,0
Brooklyn,Private room,54,2,10,0.43,0
Brooklyn,Entire home/apt,117,3,10,3.9,1
Brooklyn,Entire home/apt,142,4,106,2.07,1
Brooklyn,Private room,62,2,28,1.34,0
Queens,Private room,40,1,0,0.0,0
Brooklyn,Private room,80,2,10,1.57,0
Bronx,Private room,45,5,15,2.1,0
Manhattan,Private room,57,7,3,0.22,0
Manhattan,Private room,120,7,4,0.09,0
Manhattan,Private room,299,1,22,5.69,0
Queens,Entire home/apt,150,4,27,2.0,1
Manhattan,Private room,65,1,28,1.51,0
Queens,Private room,70,2,3,0.4,0
Brooklyn,Private room,70,1,38,3.83,0
Manhattan,Entire home/apt,96,4,0,0.0,1
Brooklyn,Private room,43,1,0,0.0,0
Brooklyn,Private room,45,2,2,0.08,0
Manhattan,Entire home/apt,199,8,2,0.22,1
Brooklyn,Private room,60,1,0,0.0,0
Brooklyn,Private room,55,5,4,0.23,0
Brooklyn,Entire home/apt,99,2,37,2.05,1
Manhattan,Entire home/apt,190,1,2,0.04,1
Brooklyn,Private room,45,4,5,0.1,0
Manhattan,Entire home/apt,115,2,2,0.26,1
Manhattan,Private room,50,3,2,0.05,0
Brooklyn,Private room,69,1,77,3.45,0
Manhattan,Private room,65,2,24,0.54,0
Brooklyn,Private room,45,4,1,0.03,0
Brooklyn,Entire home/apt,90,2,2,0.05,1
Manhattan,Entire home/apt,100,3,3,0.23,1
Brooklyn,Entire home/apt,150,3,3,2.43,1
Brooklyn,Entire home/apt,200,4,71,2.3,1
Brooklyn,Private room,65,2,0,0.0,0
Manhattan,Entire home/apt,299,2,155,2.46,1
Manhattan,Shared room,90,1,0,0.0,2
Bronx,Private room,85,3,1,0.38,0
Brooklyn,Private room,40,1,0,0.0,0
Brooklyn,Entire home/apt,200,1,1,0.02,1
Manhattan,Private room,100,3,60,2.26,0
Brooklyn,Private room,75,2,3,0.07,0
Brooklyn,Entire home/apt,150,2,6,6.0,1
Queens,Private room,55,1,54,2.54,0
Brooklyn,Private room,40,2,3,0.27,0
Manhattan,Private room,75,2,4,0.34,0
Brooklyn,Private room,49,1,1,0.3,0
Brooklyn,Private room,70,2,53,5.6,0
Manhattan,Entire home/apt,165,3,80,0.75,1
Manhattan,Private room,200,1,0,0.0,0
Manhattan,Private room,99,1,42,0.98,0
Brooklyn,Private room,89,4,5,1.4,0
Manhattan,Private room,50,1,0,0.0,0
Brooklyn,Entire home/apt,113,3,69,2.8,1
Brooklyn,Private room,55,7,2,0.06,0
Brooklyn,Private room,73,2,39,0.71,0
Manhattan,Entire home/apt,200,1,0,0.0,1
Brooklyn,Entire home/apt,135,4,68,2.97,1
Queens,Entire home/apt,125,2,2,0.11,1
Manhattan,Entire home/apt,229,2,2,0.77,1
Manhattan,Private room,80,2,1,0.02,0
Brooklyn,Private room,95,1,2,0.17,0
Manhattan,Private room,69,2,249,4.12,0
Manhattan,Entire home/apt,140,1,16,0.28,1
Queens,Private room,50,2,1,0.02,0
Brooklyn,Entire home/apt,125,2,71,3.92,1
Brooklyn,Entire home/apt,134,2,157,2.45,1
Manhattan,Shared room,29,1,93,2.28,2
Brooklyn,Private room,75,1,1,0.02,0
Manhattan,Entire home/apt,100,6,0,0.0,1
Brooklyn,Entire home/apt,120,3,36,1.06,1
Brooklyn,Entire home/apt,90,3,7,2.26,1
Brooklyn,Private room,125,1,4,0.39,0
Manhattan,Entire home/apt,250,1,0,0.0,1
Bronx,Entire home/apt,103,2,19,5.7,1
Brooklyn,Private room,42,2,35,1.69,0
Brooklyn,Private room,60,2,0,0.0,0
Staten Island,Private room,52,2,137,3.17,0
Brooklyn,Entire home/apt,175,2,1,0.05,1
Bronx,Entire home/apt,100,2,18,4.78,1
Queens,Private room,59,3,106,1.61,0
Brooklyn,Private room,60,3,4,0.13,0
Brooklyn,Entire home/apt,150,2,1,0.02,1
Manhattan,Private room,95,1,0,0.0,0
Manhattan,Private room,99,4,2,0.04,0
Manhattan,Private room,84,2,3,0.07,0
Manhattan,Entire home/apt,180,2,146,4.55,1
Brooklyn,Private room,45,7,14,0.42,0
Brooklyn,Entire home/apt,135,3,18,2.19,1
Manhattan,Entire home/apt,275,10,0,0.0,1
Manhattan,Entire home/apt,102,3,36,0.5,1
Brooklyn,Entire home/apt,85,1,113,3.25,1
Brooklyn,Private room,35,1,7,3.62,0
Manhattan,Private room,140,2,50,1.01,0
Brooklyn,Private room,45,2,1,0.03,0
Brooklyn,Private room,65,3,19,0.55,0
Manhattan,Private room,70,1,3,0.18,0
Manhattan,Entire home/apt,300,4,4,0.63,1
Brooklyn,Entire home/apt,77,6,15,0.94,1
Bronx,Private room,33,2,103,2.27,0
Brooklyn,Entire home/apt,135,3,173,2.47,1
Brooklyn,Entire home/apt,89,3,62,0.71,1
Bronx,Private room,40,2,83,2.08,0
Staten Island,Entire home/apt,70,3,14,1.81,1
Brooklyn,Entire home/apt,90,1,6,0.73,1
Queens,Private room,42,7,21,0.94,0
Brooklyn,Entire home/apt,145,2,222,4.15,1
Manhattan,Private room,100,1,0,0.0,0
Brooklyn,Entire home/apt,175,1,0,0.0,1
Brooklyn,Private room,70,3,0,0.0,0
Brooklyn,Entire home/apt,100,1,2,0.08,1
Brooklyn,Entire home/apt,295,2,78,2.27,1
Brooklyn,Private room,65,1,20,2.09,0
Manhattan,Private room,120,3,0,0.0,0
Manhattan,Entire home/apt,147,1,42,1.32,1
Manhattan,Private room,45,1,1,0.02,0
Manhattan,Entire home/apt,159,7,0,0.0,1
Manhattan,Entire home/apt,87,2,5,0.23,1
Manhattan,Entire home/apt,300,7,6,0.44,1
Brooklyn,Private room,67,1,29,1.79,0
Manhattan,Entire home/apt,165,3,2,0.06,1
Brooklyn,Entire home/apt,300,2,4,0.37,1
Manhattan,Entire home/apt,130,3,15,3.04,1
Manhattan,Private room,100,2,79,2.12,0
Brooklyn,Private room,55,2,22,5.2,0
Brooklyn,Entire home/apt,119,7,2,2.0,1
Brooklyn,Private room,70,1,174,5.06,0
Bronx,Private room,70,1,5,1.76,0
Brooklyn,Private room,45,1,2,0.05,0
Brooklyn,Private room,85,1,118,2.38,0
Manhattan,Entire home/apt,139,3,47,3.45,1
Manhattan,Private room,110,6,20,0.36,0
Bronx,Private room,39,1,9,3.38,0
Brooklyn,Entire home/apt,160,10,0,0.0,1
Manhattan,Private room,50,2,13,3.42,0
Brooklyn,Entire home/apt,66,3,3,0.17,1
Manhattan,Private room,150,1,56,1.79,0
Manhattan,Entire home/apt,275,6,0,0.0,1
Brooklyn,Private room,10,1,0,0.0,0
Manhattan,Private room,100,10,2,0.09,0
Bronx,Entire home/apt,99,2,8,1.05,1
Manhattan,Entire home/apt,300,2,1,0.55,1
Manhattan,Entire home/apt,150,3,4,0.13,1
Brooklyn,Private room,65,2,14,1.85,0
Manhattan,Private room,70,3,7,0.19,0
Manhattan,Entire home/apt,290,2,5,0.16,1
Brooklyn,Entire home/apt,123,3,6,0.53,1
Manhattan,Private room,125,3,1,0.35,0
Brooklyn,Private room,60,1,0,0.0,0
Brooklyn,Private room,50,2,1,0.03,0
Brooklyn,Entire home/apt,150,3,5,0.23,1
Brooklyn,Entire home/apt,88,4,6,0.24,1
Manhattan,Private room,83,1,1,0.33,0
Brooklyn,Entire home/apt,125,2,3,0.19,1
Manhattan,Private room,84,2,18,5.35,0
Brooklyn,Private room,75,4,1,0.03,0
Brooklyn,Entire home/apt,189,4,227,3.01,1
Manhattan,Private room,123,1,10,4.35,0
Brooklyn,Private room,60,1,3,0.16,0
Manhattan,Entire home/apt,175,3,68,0.69,1
Manhattan,Private room,100,5,71,2.67,0
Manhattan,Entire home/apt,165,1,202,8.16,1
Brooklyn,Private room,115,1,0,0.0,0
Queens,Private room,49,1,15,1.33,0
Brooklyn,Entire home/apt,275,5,0,0.0,1
Manhattan,Entire home/apt,175,6,3,0.23,1
Manhattan,Private room,75,2,5,1.76,0
Queens,Entire home/apt,150,6,50,2.27,1
Brooklyn,Entire home/apt,177,3,144,3.02,1
Brooklyn,Private room,100,4,1,0.06,0
Brooklyn,Entire home/apt,200,1,15,1.42,1
Manhattan,Private room,89,1,3,0.15,0
Queens,Private room,35,1,60,2.73,0
Brooklyn,Entire home/apt,158,3,87,1.53,1
Brooklyn,Private room,45,2,25,1.97,0
Manhattan,Entire home/apt,151,2,5,0.1,1
Queens,Private room,60,7,1,0.07,0
Brooklyn,Entire home/apt,112,2,50,3.93,1
Manhattan,Private room,80,3,110,3.48,0
Brooklyn,Private room,100,2,8,0.23,0
Queens,Private room,59,3,8,0.83,0
Brooklyn,Entire home/apt,165,5,117,1.28,1
Brooklyn,Private room,50,2,12,2.98,0
Manhattan,Private room,95,5,64,0.88,0
Brooklyn,Shared room,45,2,0,0.0,2
Brooklyn,Private room,102,1,30,0.7,0
Manhattan,Entire home/apt,250,2,1,0.05,1
Queens,Entire home/apt,78,2,1,0.03,1
Brooklyn,Entire home/apt,180,3,0,0.0,1
Queens,Private room,35,3,14,0.83,0
Brooklyn,Private room,63,3,0,0.0,0
Brooklyn,Entire home/apt,105,2,30,0.84,1
Queens,Entire home/apt,42,3,0,0.0,1
Queens,Private room,60,4,6,0.17,0
Brooklyn,Private room,80,10,1,0.07,0
Brooklyn,Entire home/apt,80,5,55,3.31,1
Brooklyn,Entire home/apt,160,1,18,0.7,1
Manhattan,Private room,100,1,1,0.39,0
Brooklyn,Private room,70,3,45,4.93,0
Brooklyn,Entire home/apt,69,1,7,0.23,1
Manhattan,Entire home/apt,110,1,0,0.0,1
Brooklyn,Private room,45,5,8,0.31,0
Brooklyn,Entire home/apt,100,1,2,0.04,1
Brooklyn,Entire home/apt,95,2,7,2.5,1
Brooklyn,Private room,90,2,16,1.0,0
Queens,Entire home/apt,10,2,22,1.76,1
Manhattan,Entire home/apt,145,2,31,0.69,1
Manhattan,Private room,85,2,19,0.6,0
Brooklyn,Private room,55,1,14,0.3,0
Brooklyn,Private room,55,4,197,1.65,0
Manhattan,Entire home/apt,130,1,12,0.87,1
Manhattan,Private room,80,1,2,0.48,0
Manhattan,Entire home/apt,200,3,0,0.0,1
Manhattan,Private room,150,7,0,0.0,0
Brooklyn,Private room,55,1,32,3.81,0
Brooklyn,Private room,50,1,0,0.0,0
Queens,Private room,60,1,72,1.82,0
Brooklyn,Private room,76,1,59,4.57,0
Brooklyn,Private room,175,3,2,0.11,0
Brooklyn,Entire home/apt,250,7,5,0.14,1
Manhattan,Entire home/apt,130,3,7,2.84,1
Manhattan,Shared room,199,1,0,0.0,2
Brooklyn,Private room,55,7,116,1.57,0
Brooklyn,Private room,50,2,26,1.16,0
Manhattan,Entire home/apt,250,1,0,0.0,1
Brooklyn,Private room,50,2,28,1.46,0
Brooklyn,Private room,47,2,248,3.27,0
Brooklyn,Entire home/apt,175,3,18,0.35,1
Staten Island,Private room,80,1,29,3.4,0
Queens,Entire home/apt,169,3,0,0.0,1
Queens,Private room,50,1,6,0.31,0
Brooklyn,Private room,85,1,0,0.0,0
Brooklyn,Entire home/apt,150,7,15,0.27,1
Queens,Private room,59,3,4,0.09,0
Manhattan,Private room,78,3,0,0.0,0
Brooklyn,Entire home/apt,190,4,2,0.32,1
Brooklyn,Entire home/apt,250,2,3,0.14,1
Manhattan,Private room,70,2,5,1.65,0
Manhattan,Entire home/apt,125,3,5,0.23,1
Brooklyn,Private room,65,2,20,1.57,0
Brooklyn,Entire home/apt,150,1,78,2.22,1
Brooklyn,Entire home/apt,61,1,91,2.38,1
Manhattan,Entire home/apt,171,2,1,0.02,1
Brooklyn,Entire home/apt,250,5,4,0.55,1
Manhattan,Entire home/apt,200,1,8,0.16,1
Brooklyn,Entire home/apt,112,1,62,3.33,1
Brooklyn,Private room,62,2,5,0.13,0
Manhattan,Entire home/apt,295,4,2,0.09,1
Brooklyn,Private room,90,2,3,1.8,0
Manhattan,Private room,90,2,12,0.79,0
Manhattan,Private room,73,6,11,0.31,0
Manhattan,Entire home/apt,225,3,2,0.13,1
Brooklyn,Entire home/apt,125,3,130,2.72,1
Staten Island,Entire home/apt,105,2,132,3.55,1
Queens,Private room,90,3,1,0.16,0
Brooklyn,Private room,105,1,1,0.05,0
Brooklyn,Private room,50,1,0,0.0,0
Manhattan,Private room,260,2,0,0.0,0
Manhattan,Shared room,80,1,0,0.0,2
Brooklyn,Entire home/apt,125,4,11,0.55,1
Manhattan,Shared room,100,5,0,0.0,2
Manhattan,Private room,70,5,1,0.05,0
Brooklyn,Private room,60,2,1,0.04,0
Brooklyn,Entire home/apt,150,2,17,1.68,1
Brooklyn,Private room,70,1,0,0.0,0
Queens,Entire home/apt,200,2,18,1.3,1
Manhattan,Private room,75,4,14,0.23,0
Manhattan,Entire home/apt,299,3,76,5.82,1
Brooklyn,Entire home/apt,110,2,29,7.7,1
Manhattan,Private room,70,2,0,0.0,0
Manhattan,Private room,99,1,1,0.05,0
Brooklyn,Private room,88,7,1,0.15,0
Brooklyn,Private room,35,2,112,2.7,0
Manhattan,Entire home/apt,125,4,31,0.84,1
Brooklyn,Private room,75,1,13,0.96,0
Manhattan,Entire home/apt,250,5,0,0.0,1
Brooklyn,Entire home/apt,125,2,53,3.44,1
Brooklyn,Private room,75,2,1,0.03,0
Brooklyn,Private room,60,1,4,1.85,0
Manhattan,Private room,60,2,5,0.31,0
Manhattan,Entire home/apt,100,2,17,2.12,1
Manhattan,Entire home/apt,299,4,0,0.0,1
Manhattan,Private room,42,5,7,0.16,0
Brooklyn,Private room,51,3,4,0.06,0
Brooklyn,Private room,60,1,0,0.0,0
Manhattan,Private room,149,1,0,0.0,0
Brooklyn,Entire home/apt,200,10,4,0.12,1
Manhattan,Entire home/apt,200,2,1,0.04,1
Manhattan,Entire home/apt,200,2,8,0.53,1
Manhattan,Entire home/apt,150,1,25,0.67,1
Brooklyn,Private room,70,2,8,3.08,0
Manhattan,Entire home/apt,220,3,3,0.28,1
Queens,Private room,49,1,19,2.5,0
Brooklyn,Entire home/apt,101,2,37,4.19,1
Queens,Entire home/apt,110,1,9,0.19,1
Manhattan,Private room,100,3,2,0.32,0
Manhattan,Entire home/apt,135,1,45,1.4,1
Manhattan,Entire home/apt,300,1,29,7.13,1
Brooklyn,Private room,65,7,0,0.0,0
Brooklyn,Entire home/apt,100,4,4,1.52,1
Manhattan,Entire home/apt,135,6,3,2.2,1
Manhattan,Entire home/apt,110,1,85,1.9,1
Brooklyn,Private room,125,2,5,0.19,0
Manhattan,Private room,62,3,21,0.77,0
Brooklyn,Private room,60,1,21,3.35,0
Manhattan,Private room,75,3,199,1.85,0
Brooklyn,Entire home/apt,150,2,0,0.0,1
Brooklyn,Private room,44,2,96,4.66,0
Manhattan,Entire home/apt,250,1,1,0.03,1
Brooklyn,Private room,98,1,1,0.04,0
Brooklyn,Shared room,159,1,7,0.31,2
Queens,Entire home/apt,88,4,44,2.33,1
Manhattan,Private room,40,9,0,0.0,0
Brooklyn,Entire home/apt,105,1,2,0.08,1
Brooklyn,Private room,99,3,19,0.33,0
Brooklyn,Private room,75,4,1,0.53,0
Brooklyn,Entire home/apt,195,7,0,0.0,1
Queens,Entire home/apt,120,1,23,1.81,1
Brooklyn,Entire home/apt,70,1,2,0.19,1
Manhattan,Entire home/apt,190,5,5,0.08,1
Brooklyn,Entire home/apt,180,3,123,2.53,1
Brooklyn,Entire home/apt,190,4,12,3.33,1
Manhattan,Entire home/apt,119,3,6,0.57,1
Brooklyn,Private room,35,1,2,0.11,0
Queens,Private room,49,1,8,3.04,0
Manhattan,Private room,75,2,1,0.03,0
Queens,Private room,40,2,29,1.4,0
Brooklyn,Entire home/apt,59,7,9,0.19,1
Brooklyn,Private room,110,1,6,0.14,0
Brooklyn,Private room,69,2,12,0.18,0
Brooklyn,Private room,63,10,2,0.52,0
Queens,Entire home/apt,150,1,1,0.02,1
Brooklyn,Entire home/apt,125,3,2,0.1,1
Bronx,Private room,35,1,114,3.48,0
Manhattan,Private room,110,1,161,4.42,0
Manhattan,Private room,100,1,58,1.27,0
Brooklyn,Entire home/apt,200,7,2,0.03,1
Brooklyn,Private room,90,1,0,0.0,0
Manhattan,Entire home/apt,329,4,17,1.53,1
Brooklyn,Entire home/apt,142,2,3,0.11,1
Manhattan,Entire home/apt,239,5,0,0.0,1
Brooklyn,Entire home/apt,115,7,3,0.04,1
Brooklyn,Private room,40,2,3,0.16,0
Manhattan,Entire home/apt,200,7,3,0.14,1
Brooklyn,Private room,65,1,52,1.7,0
Brooklyn,Private room,89,1,92,5.1,0
Brooklyn,Private room,55,3,219,4.73,0
Brooklyn,Private room,45,7,0,0.0,0
Manhattan,Entire home/apt,200,2,5,0.12,1
Brooklyn,Private room,35,1,45,2.42,0
Brooklyn,Entire home/apt,125,3,40,2.02,1
Brooklyn,Private room,140,2,141,3.63,0
Manhattan,Entire home/apt,120,5,83,1.11,1
Manhattan,Entire home/apt,299,5,3,1.91,1
Brooklyn,Entire home/apt,130,4,3,0.1,1
Queens,Entire home/apt,260,1,15,1.71,1
Manhattan,Entire home/apt,150,3,28,1.25,1
Manhattan,Entire home/apt,120,3,11,0.32,1
Manhattan,Entire home/apt,210,1,76,2.1,1
Brooklyn,Private room,63,2,2,0.05,0
Manhattan,Private room,70,3,0,0.0,0
Brooklyn,Entire home/apt,200,2,13,1.01,1
Manhattan,Entire home/apt,200,1,0,0.0,1
Brooklyn,Private room,55,1,18,6.0,0
Manhattan,Entire home/apt,299,3,0,0.0,1
Brooklyn,Private room,80,1,0,0.0,0
Brooklyn,Entire home/apt,135,9,5,0.62,1
Manhattan,Private room,121,3,51,2.42,0
Manhattan,Private room,99,3,79,2.75,0
Queens,Private room,55,1,224,3.87,0
Manhattan,Entire home/apt,145,3,1,0.01,1
Brooklyn,Private room,41,1,82,5.0,0
Brooklyn,Private room,72,3,37,0.66,0
Queens,Entire home/apt,105,4,12,0.39,1
Bronx,Private room,45,2,3,0.57,0
Manhattan,Private room,37,5,0,0.0,0
Manhattan,Entire home/apt,308,2,6,1.55,1
Manhattan,Entire home/apt,155,4,18,1.05,1
Manhattan,Entire home/apt,175,1,6,0.13,1
Brooklyn,Private room,40,3,3,0.09,0
Manhattan,Private room,58,5,66,0.91,0
Manhattan,Private room,90,7,0,0.0,0
Brooklyn,Entire home/apt,78,2,114,2.65,1
Brooklyn,Entire home/apt,68,1,0,0.0,1
Manhattan,Private room,60,5,39,1.2,0
Queens,Entire home/apt,99,2,171,5.3,1
Brooklyn,Entire home/apt,150,1,3,3.0,1
Brooklyn,Private room,99,5,0,0.0,0
Brooklyn,Private room,50,1,4,3.08,0
Brooklyn,Private room,70,3,33,0.81,0
Manhattan,Entire home/apt,144,3,0,0.0,1
Bronx,Private room,60,2,3,0.1,0
Queens,Private room,55,2,0,0.0,0
Queens,Entire home/apt,89,3,5,0.45,1
Manhattan,Private room,55,1,3,0.08,0
Manhattan,Entire home/apt,299,2,25,1.22,1
Manhattan,Private room,190,3,19,1.53,0
Manhattan,Entire home/apt,90,3,1,0.07,1
Bronx,Private room,45,5,14,0.28,0
Manhattan,Entire home/apt,199,2,71,1.42,1
Manhattan,Entire home/apt,249,3,0,0.0,1
Brooklyn,Private room,54,7,0,0.0,0
Manhattan,Entire home/apt,150,1,2,0.06,1
Queens,Private room,80,1,11,5.0,0
Manhattan,Entire home/apt,245,2,7,4.57,1
Manhattan,Entire home/apt,200,3,0,0.0,1
Brooklyn,Private room,55,1,115,4.64,0
Manhattan,Entire home/apt,165,4,1,0.04,1
Manhattan,Private room,120,7,4,0.44,0
Manhattan,Private room,99,1,0,0.0,0
Brooklyn,Entire home/apt,170,2,21,0.86,1
Manhattan,Private room,101,3,4,0.15,0
Queens,Entire home/apt,150,5,0,0.0,1
Manhattan,Private room,262,2,6,1.59,0
Brooklyn,Entire home/apt,235,6,5,0.07,1
Manhattan,Private room,125,6,3,0.12,0
Brooklyn,Private room,88,2,12,0.26,0
Brooklyn,Private room,45,2,45,2.95,0
Manhattan,Entire home/apt,275,2,4,0.15,1
Manhattan,Entire home/apt,250,2,15,0.63,1
Manhattan,Private room,50,7,3,0.23,0
Brooklyn,Private room,100,2,13,0.52,0
Manhattan,Entire home/apt,160,1,25,5.47,1
Manhattan,Private room,80,1,135,1.67,0
Manhattan,Private room,175,4,3,0.11,0
Brooklyn,Private room,50,5,0,0.0,0
Manhattan,Private room,50,3,145,1.97,0
Manhattan,Entire home/apt,95,1,0,0.0,1
Brooklyn,Private room,50,1,1,0.81,0
Manhattan,Entire home/apt,250,1,0,0.0,1
Brooklyn,Entire home/apt,109,2,5,1.24,1
Queens,Private room,48,6,2,0.13,0
Brooklyn,Entire home/apt,200,2,2,0.05,1
Brooklyn,Entire home/apt,133,4,104,1.32,1
Brooklyn,Entire home/apt,90,2,2,0.32,1
Brooklyn,Entire home/apt,150,3,12,6.55,1
Brooklyn,Entire home/apt,69,2,36,2.46,1
Brooklyn,Private room,25,1,9,0.45,0
Brooklyn,Private room,99,1,24,2.36,0
Brooklyn,Private room,100,1,1,0.02,0
Manhattan,Private room,48,1,1,0.07,0
Manhattan,Entire home/apt,140,4,49,3.58,1
Manhattan,Entire home/apt,215,1,0,0.0,1
Brooklyn,Private room,206,1,1,0.05,0
Manhattan,Private room,50,2,7,0.23,0
Manhattan,Entire home/apt,199,3,8,0.74,1
Manhattan,Entire home/apt,175,3,2,0.08,1
Bronx,Entire home/apt,99,3,2,2.0,1
Bronx,Private room,99,2,1,0.25,0
Manhattan,Entire home/apt,110,4,13,2.6,1
Manhattan,Private room,99,5,0,0.0,0
Brooklyn,Private room,135,3,16,0.18,0
Manhattan,Private room,40,1,2,0.04,0
Brooklyn,Entire home/apt,110,5,28,1.71,1
Manhattan,Private room,165,2,5,3.0,0
Manhattan,Entire home/apt,175,2,38,1.69,1
Manhattan,Private room,150,2,0,0.0,0
Manhattan,Entire home/apt,200,2,2,0.16,1
Brooklyn,Entire home/apt,200,2,6,2.5,1
Brooklyn,Private room,140,2,0,0.0,0
Brooklyn,Private room,30,3,2,0.03,0
Brooklyn,Private room,80,4,1,0.15,0
Manhattan,Private room,58,5,0,0.0,0
Manhattan,Private room,80,2,13,1.29,0
Brooklyn,Entire home/apt,125,2,11,0.45,1
Manhattan,Entire home/apt,99,7,25,2.28,1
Brooklyn,Private room,80,1,18,1.83,0
Manhattan,Entire home/apt,190,6,61,1.27,1
Manhattan,Entire home/apt,80,5,5,0.1,1
Brooklyn,Entire home/apt,91,5,2,0.21,1
Brooklyn,Private room,92,4,18,0.52,0
Manhattan,Entire home/apt,80,1,73,4.54,1
Brooklyn,Private room,70,1,13,0.49,0
Manhattan,Entire home/apt,200,4,36,0.57,1
Brooklyn,Private room,70,5,0,0.0,0
Brooklyn,Private room,65,2,0,0.0,0
Brooklyn,Entire home/apt,75,7,15,0.23,1
Manhattan,Private room,62,7,8,0.77,0
Manhattan,Entire home/apt,170,1,12,0.65,1
